employee_id,is_promoted
74430,0
72255,0
38562,0
64486,0
46232,0
54542,0
67269,0
66174,0
76303,0
60245,0
42639,0
30963,0
54055,0
42996,0
12737,0
27561,0
26622,0
31582,0
29793,0
72735,0
60889,0
51498,0
8566,0
53151,0
16203,0
61083,0
74849,0
13259,0
72407,0
65237,0
77460,0
67317,0
68788,0
36834,0
64281,0
1822,0
41432,0
52061,0
39973,0
42524,0
7935,0
49940,0
10059,0
76691,0
5621,0
24147,0
33997,0
23714,0
19866,0
4529,0
64703,0
19649,0
6596,0
7999,0
4762,0
24620,0
57989,0
75619,0
65975,0
51302,0
63714,0
70556,0
70117,0
51972,0
60572,0
9548,0
64,0
35510,0
10732,1
9214,0
10761,0
32110,0
50038,0
1555,0
21200,0
50380,0
45009,0
65450,0
77333,0
8443,0
39490,0
69077,0
64652,0
5254,0
71131,0
19620,0
41266,0
11001,0
28530,0
72481,0
67417,0
40287,0
29367,0
36352,0
29681,0
30233,0
66601,0
40276,0
1522,0
17936,0
26270,0
6837,0
49665,0
1908,0
6474,0
27495,1
24324,0
14299,0
56246,0
3901,1
41566,0
55735,1
53627,0
62683,0
44948,0
26037,0
30607,0
46103,0
6452,0
47286,0
44117,0
1367,0
26228,0
65694,0
63901,0
4701,0
35341,0
10361,0
6572,0
70408,0
11774,0
37873,0
3886,0
23347,0
3034,0
30137,1
52431,0
11061,0
17607,0
64986,0
8082,0
20982,0
5794,0
69381,0
48923,0
48813,0
5574,0
57601,0
564,0
3864,0
19598,0
74965,0
13367,0
38556,0
51344,0
28320,0
56104,0
68882,0
75800,0
13223,0
62740,0
67233,0
49207,0
19053,0
46519,0
2111,1
69413,0
40064,0
33502,0
15182,0
13593,0
15613,0
75751,0
71625,0
37763,0
10812,0
67357,0
49583,0
45428,0
44266,0
57884,0
24334,0
58892,0
40799,0
33879,0
24403,0
51150,0
7722,0
71271,0
65909,0
8228,0
52138,0
22999,0
29196,0
17973,0
10986,0
19355,0
75402,0
52587,0
41662,0
73944,0
3987,0
40057,0
12411,0
15161,0
59084,0
53857,0
42772,0
5294,0
56439,0
29998,0
76599,1
27424,0
75833,0
57068,0
70129,0
14733,0
7561,0
59522,1
44299,0
29220,0
15869,0
51270,0
19212,0
70890,1
31183,0
46628,0
44670,0
70734,1
47051,0
17760,0
8180,0
24756,0
56780,0
59919,0
18924,0
42477,0
11824,0
51740,0
51364,0
64265,0
46233,0
41215,0
47172,0
53542,0
2121,0
77677,0
38018,0
29799,0
565,0
33473,0
46339,0
6352,0
63568,0
15317,0
63035,0
22942,0
62212,1
49252,0
38520,1
69109,0
67985,0
74040,0
31049,0
55523,0
40579,0
40211,0
41982,0
24286,0
53696,0
47130,0
25340,0
16794,0
10399,0
9095,1
60624,0
30188,0
19292,0
58780,0
33674,0
17128,0
28127,0
42650,0
58393,0
72037,0
33736,0
51260,0
21326,0
7784,0
33540,0
53267,0
51294,0
4208,0
64266,0
57995,0
76317,0
32169,0
22403,0
18775,0
7007,0
58836,0
67403,0
34371,0
72636,0
41162,0
42939,0
37227,0
34986,0
10473,0
42833,0
39224,1
34148,0
65558,0
63986,0
31641,0
45087,0
41610,0
10376,0
11414,0
32884,0
71007,0
43891,0
26769,0
23022,1
56684,0
24951,0
8810,0
33334,0
29911,0
42142,0
29467,0
11784,0
29776,0
10563,0
6736,0
441,0
14980,0
13549,0
1348,0
14948,0
22827,0
30527,0
38928,0
17420,0
72878,0
38588,0
55236,0
339,0
30270,0
36458,0
27999,0
57114,0
25603,0
71930,0
23945,0
22469,0
34891,0
17506,0
32124,0
48160,0
30792,0
76840,0
27844,0
32595,0
66391,0
18212,0
51051,1
60375,0
8495,0
50665,0
50512,0
6621,0
10992,0
10742,0
33326,0
28711,0
16466,0
71692,0
5296,0
376,0
11139,0
21667,0
52771,0
30283,0
33431,0
10860,0
52246,0
16337,0
21160,1
30888,0
41543,0
68619,0
9454,0
48316,0
61103,0
46772,0
62688,0
67083,0
10508,0
42182,0
51295,1
26017,0
38656,0
1210,0
52205,0
18776,0
39588,0
2066,0
7952,0
28286,0
15837,0
41908,0
28766,0
35922,0
42485,0
47556,0
50266,0
77122,0
45635,0
57502,0
26262,0
74374,0
34661,0
38450,0
31134,0
27968,0
36271,0
3316,0
35219,0
52701,0
8654,0
7551,0
18778,0
57527,0
1726,0
60191,0
30623,0
67366,0
15689,0
18286,0
63660,0
32232,0
56976,0
64644,0
39204,0
47141,0
26883,0
50095,0
16145,0
24190,0
17777,0
3339,0
11436,0
40457,0
4730,0
10380,0
6891,0
40575,0
60937,0
3066,0
18712,0
68494,0
74119,0
76254,0
49402,0
8141,0
3076,0
14390,0
66964,0
67091,0
13164,0
21190,0
21432,0
2096,0
53808,0
59105,0
76796,0
49192,0
45888,0
72963,0
53081,0
23930,0
51938,0
29280,0
7689,0
16924,1
8648,0
57036,0
69859,0
31492,0
3964,0
20962,0
16434,0
28860,0
28665,0
1561,0
72856,0
28596,0
52840,0
73807,0
1089,0
20345,0
59325,0
45294,0
61412,0
29033,0
41735,0
20001,0
47942,0
5232,0
7097,0
61335,0
61360,0
54187,0
18493,0
23130,0
16180,0
5133,0
54456,0
62197,0
50861,0
40356,0
68967,0
49181,0
19572,0
58731,0
32167,0
3435,0
7389,0
44860,0
72065,0
49353,0
42688,0
4019,0
64023,0
30034,0
6907,0
14810,0
17629,0
7003,0
59100,0
73651,0
65300,0
38796,0
17133,0
10552,0
58271,0
42387,0
19737,0
68576,0
62951,0
76794,0
39736,0
73402,1
30749,0
49089,0
57203,0
14101,0
31036,0
66566,0
2283,0
35086,0
66082,0
34105,0
14599,0
21293,0
44127,0
64845,0
38638,0
62916,1
18984,0
35872,0
8019,0
6358,0
53023,1
32026,0
46737,0
21112,0
12594,0
48577,0
9087,0
74296,0
13640,0
65412,0
17816,0
50036,0
34158,0
74401,0
73296,0
41847,0
55643,0
40689,0
41087,0
56409,0
28892,0
22658,0
29419,0
18809,0
59695,0
39585,0
30356,0
78175,0
23668,0
50441,0
52311,0
19576,0
39982,0
23338,0
65210,0
70168,0
44136,0
19098,0
19826,0
68896,0
22540,0
52630,0
42249,0
41645,0
60352,0
24168,0
77703,0
52005,0
22821,0
33963,0
55903,0
70360,0
21163,0
52351,0
57632,0
21018,0
30307,0
51006,0
59242,0
19353,0
33400,0
46896,0
65389,0
31886,0
62107,0
62662,0
54888,0
6878,0
71343,0
64742,0
31110,0
22290,0
5238,0
17481,0
16426,0
45701,0
23605,0
8693,0
77061,0
50458,0
50405,0
29954,0
27369,0
34266,0
69082,0
54481,0
21502,0
26676,0
54360,0
14467,0
58255,0
46322,0
49734,0
18985,0
51064,0
52765,0
46466,0
9307,0
45619,0
1110,0
928,0
24625,0
16069,0
59733,0
8710,0
28479,0
73983,0
57108,0
7195,0
52665,0
37573,0
68267,0
40855,0
61710,0
14955,0
77531,0
5885,0
31444,0
3718,0
718,0
813,1
2005,0
38391,0
71236,0
7361,0
24579,0
75383,0
56762,0
49902,0
46473,0
66123,0
63361,0
30949,0
65248,0
5320,0
6158,0
12033,0
61175,0
49816,0
8824,0
57352,1
76037,0
19245,0
61018,0
16908,0
20068,0
30534,0
29500,0
33834,0
54535,0
17853,0
30139,0
27401,0
24099,0
7180,0
35814,0
44779,0
29222,0
50994,0
1276,0
22054,0
31041,0
64122,0
76830,0
24188,0
74749,0
24091,0
69671,0
31902,0
48217,1
10292,0
61474,0
65465,0
26232,0
54413,0
59365,0
45470,0
12571,0
31518,0
49208,0
43824,0
18600,0
76821,0
11378,0
32242,0
16142,0
1250,0
65786,0
52386,0
71833,0
1327,0
2383,0
67658,0
24637,0
67379,0
37712,0
66799,0
16875,0
16517,0
46895,0
46351,0
25883,0
67480,0
13471,0
48370,0
1183,0
66776,1
53366,0
77194,0
56386,0
44243,0
68929,0
42308,0
34787,0
30673,0
20454,0
14255,0
695,0
62976,0
16198,0
18019,0
37984,0
40814,0
23800,0
32889,0
11336,0
3455,0
58459,0
34222,0
19756,0
22506,0
7488,0
42978,0
57052,0
10424,1
70644,0
42310,1
55184,0
19061,0
65816,0
33424,0
73061,0
57307,0
16751,0
31709,0
46319,0
32544,0
29042,0
58208,0
6100,0
46547,0
25467,0
7474,0
5010,0
16790,0
54516,0
7725,0
49036,0
28899,0
48877,0
76815,0
29086,0
17697,0
25912,0
33757,0
66863,0
44598,0
69056,0
39697,0
9996,0
6239,0
6980,1
54953,0
67681,0
4417,0
75702,0
591,0
12841,0
43704,0
3990,1
55454,0
9677,0
25620,0
69996,0
38992,0
61755,0
29966,0
51673,0
36870,0
23116,0
54222,0
2454,0
9994,0
14705,0
74684,0
43067,0
56434,0
76328,0
64375,0
12320,0
20464,0
31764,0
47215,0
33910,0
3485,0
73471,0
9251,0
59688,0
56262,0
12803,0
68388,1
32344,0
71931,0
55130,0
47604,0
25289,0
70638,0
40109,0
34855,0
57455,0
31558,0
47680,0
70695,0
51197,0
59110,0
25602,0
19695,0
38429,0
52760,0
26863,0
16454,0
4559,0
14115,0
7286,0
37820,0
69587,0
66010,0
46367,0
50384,0
43679,0
20232,0
40572,0
75902,0
31472,0
22353,0
57914,0
64069,0
16459,0
8158,0
73268,0
66226,0
58785,0
44141,0
36629,0
51685,0
35379,0
41723,0
61361,0
40149,0
56099,0
40736,0
71628,0
38791,1
20157,0
22877,0
4313,0
30855,0
75069,0
67608,0
23027,0
19501,0
3635,0
47380,0
975,0
41742,0
11526,0
44722,0
62674,0
17043,0
63224,0
13282,0
47117,0
58067,0
23681,0
44416,1
75849,0
74165,0
28382,0
63366,0
51737,0
18585,0
33646,0
58458,1
69215,0
4508,0
14986,0
26321,0
36203,0
9523,0
24337,0
53448,0
5576,0
44110,0
69085,0
6150,0
62147,0
68879,0
65115,0
51763,0
30940,0
71078,0
52464,0
3530,0
9188,0
37895,0
5649,0
61577,0
12868,0
74966,0
8023,0
33807,0
71459,0
39582,0
25879,0
35351,0
31794,0
61663,0
72095,1
77101,0
25557,0
31585,0
25793,0
26024,0
54748,0
8839,0
27967,0
75588,0
20382,1
30108,0
48297,0
75625,0
19947,0
61450,0
77304,0
40159,0
68305,0
21207,0
54630,0
